Date = 25.07.2018 17:14:00 	Squat = 137,4875 	Press = 106,66 	Lift = 154 	Weight = 70 	Tonnage = 8585 	Another:                                                                                                          Другое упражнение №1: Становая тяга классикой ; 1 подходов по 10 повторений с весом 50 + 1 подходов по 10 повторений с весом 80 + 1 подходов по 8 повторений с весом 100 + 5 подходов по 5 повторений с весом 120 + 1 подходов по 4 повторений с весом 130 + 1 подходов по 3 повторений с весом 140 + 1 подходов по 1 повторений с весом 150 Другое упражнение №2: Подъёмы на бицепс ; 1 подходов по 15 повторений с весом 20 + 1 подходов по 12 повторений с весом 30 + 1 подходов по 10 повторений с весом 40 + 1 подходов по 5 повторений с весом 50 + 2 подходов по 3 повторений с весом 50 | Комментарий: Надо пересмотреть программу. Тяга слишком большая для этого этапа
Date = 01.08.2018 17:03:26 	Squat = 139,98 	Press = 93,31 	Lift = 0 	Weight = 70 	Tonnage = 12790 	Another:                                                                                                         Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 80 + 1 подходов по 10 повторений с весом 100 + 5 подходов по 5 повторений с весом 120 + 1 подходов по 10 повторений с весом 100 Другое упражнение №2: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 3 подходов по 10 повторений с весом 70 + 1 подходов по 9 повторений с весом 70 + 1 подходов по 10 повторений с весом 50 | Комментарий: Самочувствие на 6/10, надо есть больше белков и минералов. Плеер наебнулся, музыки вообще не было, плохо чувствовал тело
Date = 06.08.2018 17:14:35 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10220 	Another:                                                                                                        Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 10 повторений с весом 70 + 1 подходов по 10 повторений с весом 80 + 5 подходов по 5 повторений с весом 90 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 5 повторений с весом 80 Другое упражнение №3: Жим лёжа узким хватом ; 1 подходов по 8 повторений с весом 70 + 1 подходов по 7 повторений с весом 70 + 3 подходов по 6 повторений с весом 70 + 1 подходов по 8 повторений с весом 50 | Комментарий: Очень тяжело, болела голова, заболело левое колено, в конце подхода начинал болеть низ позвоночника. Тошнило. Потом стало легче, но сил на нормальный жим не хватило, да и грудь не успела восстановиться. Та же проблема с прессом. Проблемы с техникой приседаний.
Date = 14.08.2018 16:32:48 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10060 	Another:                                                                                                       Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 10 повторений с весом 50 + 3 подходов по 2 повторений с весом 80 + 6 подходов по 2 повторений с весом 90 + 6 подходов по 2 повторений с весом 100 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 10 повторений с весом 70 + 3 подходов по 8 повторений с весом 80 + 2 подходов по 7 повторений с весом 80 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 12 повторений с весом 50 | Комментарий: Очень хорошо восстановился, но в жиме видится ассиметрия
Date = 17.08.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 3024 	Another:                                                                                                      Другое упражнение №1: Подтягивания ; 1 подходов по 10 повторений с весом 0 + 1 подходов по 10 повторений с весом 6 + 2 подходов по 8 повторений с весом 9 + 1 подходов по 6 повторений с весом 9 + 1 подходов по 8 повторений с весом 9 + 1 подходов по 6 повторений с весом 9 Другое упражнение №2: Тяга штанги/гантелей к поясу/груди ; 1 подходов по 12 повторений с весом 20 + 1 подходов по 12 повторений с весом 30 + 1 подходов по 12 повторений с весом 40 + 3 подходов по 10 повторений с весом 40 Другое упражнение №3: Упражнение на пресс ; 1 подходов по 30 повторений с весом 0 + 1 подходов по 30 повторений с весом 3 + 1 подходов по 30 повторений с весом 6 + 1 подходов по 30 повторений с весом 3 + 1 подходов по 30 повторений с весом 0 | Комментарий: Быстро забиваются руки
Date = 21.08.2018 17:06:12 	Squat = 151,645 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10175 	Another:                                                                                                     Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 10 повторений с весом 80 + 1 подходов по 7 повторений с весом 110 + 4 подходов по 4 повторений с весом 130 + 1 подходов по 5 повторений с весом 130 + 1 подходов по 10 повторений с весом 80 Другое упражнение №2: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 13 подходов по 3 повторений с весом 75 | Комментарий: Без насморка было бы немного лучше
Date = 25.08.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 153,986 	Weight = 71 	Tonnage = 7520 	Another:                                                                                                    Другое упражнение №1: Становая тяга классикой ; 1 подходов по 15 повторений с весом 50 + 1 подходов по 8 повторений с весом 80 + 1 подходов по 6 повторений с весом 110 + 1 подходов по 6 повторений с весом 120 + 5 подходов по 5 повторений с весом 130 + 2 подходов по 3 повторений с весом 140 + 1 подходов по 6 повторений с весом 110 | Комментарий: Надо было сразу брать 140 на 4
Date = 29.08.2018 18:55:31 	Squat = 146,63 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 7510 	Another:                                                                                                   Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 80 + 3 подходов по 10 повторений с весом 100 + 1 подходов по 9 повторений с весом 100 + 1 подходов по 7 повторений с весом 100 + 1 подходов по 10 повторений с весом 80 | Комментарий: Чуть не сдох. Может быть, слишком мало спал, или так насморк повлиял, или погода. Теперь не буду делать присед и жим в один день
Date = 01.09.2018 22:32:42 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 9300 	Another:                                                                                                  Другое упражнение №1: Жим лёжа широким хватом ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 12 повторений с весом 60 + 2 подходов по 12 повторений с весом 70 + 1 подходов по 11 повторений с весом 70 + 1 подходов по 6 повторений с весом 70 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 6 повторений с весом 70 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Отжимания на брусьях ; 1 подходов по 8 повторений с весом 0 + 2 подходов по 9 повторений с весом 0 Другое упражнение №3: Тяга штанги/гантелей к поясу/груди ; 1 подходов по 15 повторений с весом 25 + 1 подходов по 12 повторений с весом 40 + 4 подходов по 10 повторений с весом 50 + 1 подходов по 15 повторений с весом 25 Другое упражнение №4: Упражнение на пресс ; 1 подходов по 20 повторений с весом 0 + 1 подходов по 19 повторений с весом 0 + 1 подходов по 16 повторений с весом 0 | Комментарий: Правая рука снова начал уставать быстро
Date = 05.09.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10460 	Another:                                                                                                 Другое упражнение №1: Присед со штангой на плечах (с паузой) ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 10 повторений с весом 50 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 6 повторений с весом 90 + 6 подходов по 5 повторений с весом 110 + 1 подходов по 10 повторений с весом 90 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Упражнение на икры ; 1 подходов по 20 повторений с весом 0 + 1 подходов по 20 повторений с весом 20 + 6 подходов по 20 повторений с весом 28 | Комментарий: Надо менять технику приседа
Date = 08.09.2018 17:23:55 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 6258 	Another:                                                                                                Другое упражнение №1: Жим лёжа (с паузой) ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 10 повторений с весом 50 + 1 подходов по 8 повторений с весом 60 + 1 подходов по 6 повторений с весом 70 + 3 подходов по 5 повторений с весом 80 + 2 подходов по 4 повторений с весом 90 + 1 подходов по 2 повторений с весом 100 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Упражнение на плечи ; 1 подходов по 24 повторений с весом 6 + 1 подходов по 20 повторений с весом 10 + 1 подходов по 16 повторений с весом 12 + 1 подходов по 12 повторений с весом 14 + 1 подходов по 15 повторений с весом 14 + 1 подходов по 16 повторений с весом 14 Другое упражнение №3: Упражнение на пресс ; 1 подходов по 20 повторений с весом 0 + 1 подходов по 20 повторений с весом 5 + 1 подходов по 20 повторений с весом 10 + 4 подходов по 20 повторений с весом 5 
Date = 12.09.2018 20:37:28 	Squat = 0 	Press = 0 	Lift = 164,985 	Weight = 71 	Tonnage = 10190 	Another:                                                                                               Другое упражнение №1: Становая тяга классикой ; 1 подходов по 12 повторений с весом 50 + 1 подходов по 8 повторений с весом 80 + 1 подходов по 7 повторений с весом 100 + 1 подходов по 5 повторений с весом 120 + 5 подходов по 4 повторений с весом 140 + 1 подходов по 3 повторений с весом 150 + 1 подходов по 10 повторений с весом 100 Другое упражнение №2: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 10 повторений с весом 50 + 1 подходов по 5 повторений с весом 80 + 10 подходов по 2 повторений с весом 105 
Date = 15.09.2018 17:59:46 	Squat = 0 	Press = 110,8175 	Lift = 0 	Weight = 71 	Tonnage = 7901 	Another:                                                                                              Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 5 повторений с весом 80 + 4 подходов по 4 повторений с весом 95 + 1 подходов по 5 повторений с весом 95 + 1 подходов по 7 повторений с весом 80 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 12 повторений с весом 50 Другое упражнение №2: Подъёмы на бицепс ; 1 подходов по 16 повторений с весом 10 + 1 подходов по 14 повторений с весом 12 + 1 подходов по 12 повторений с весом 14 + 1 подходов по 12 повторений с весом 16 + 3 подходов по 12 повторений с весом 18 + 1 подходов по 12 повторений с весом 20 Другое упражнение №3: Упражнение на пресс ; 1 подходов по 20 повторений с весом 0 + 5 подходов по 20 повторений с весом 5 
Date = 18.09.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 8540 	Another:                                                                                             Другое упражнение №1: Присед на ящик ; 1 подходов по 20 повторений с весом 20 при высоте 5 блинов по 20 + 1 подходов по 15 повторений с весом 50 при высоте 5 блинов по 20 + 1 подходов по 10 повторений с весом 70 при высоте 5 блинов по 20 + 1 подходов по 10 повторений с весом 90 при высоте 5 блинов по 20 + 4 подходов по 8 повторений с весом 100 при высоте 5 блинов по 20 + 1 подходов по 10 повторений с весом 100 при высоте 5 блинов по 20 + 1 подходов по 12 повторений с весом 70 при высоте 5 блинов по 20 Другое упражнение №2: Обычные гиперэкстензии ; 1 подходов по 15 повторений с весом 0 + 5 подходов по 15 повторений с весом 10 + 1 подходов по 15 повторений с весом 0 | Комментарий: День просто не удался
Date = 21.09.2018 21:20:22 	Squat = 0 	Press = 115,4895 	Lift = 0 	Weight = 71 	Tonnage = 7255 	Another:                                                                                            Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 7 повторений с весом 70 + 1 подходов по 4 повторений с весом 90 + 4 подходов по 2 повторений с весом 105 + 1 подходов по 3 повторений с весом 105 + 1 подходов по 1 повторений с весом 110 + 1 подходов по 6 повторений с весом 90 Другое упражнение №2: Тяга штанги/гантелей к поясу/груди ; 1 подходов по 20 повторений с весом 10 + 1 подходов по 20 повторений с весом 14 + 1 подходов по 20 повторений с весом 18 + 5 подходов по 24 повторений с весом 23 Другое упражнение №3: Упражнение на пресс ; 5 подходов по 15 повторений с весом 0 
Date = 26.09.2018 0:00:00 	Squat = 158,648 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10580 	Another:                                                                                           Другое упражнение №1: Присед на ящик ; 1 подходов по 20 повторений с весом 20 при высоте 5 блинов по 20 + 1 подходов по 12 повторений с весом 50 при высоте 5 блинов по 20 + 1 подходов по 10 повторений с весом 70 при высоте 5 блинов по 20 + 1 подходов по 8 повторений с весом 90 при высоте 5 блинов по 20 + 2 подходов по 7 повторений с весом 110 при высоте 5 блинов по 20 + 2 подходов по 6 повторений с весом 120 при высоте 5 блинов по 20 + 1 подходов по 5 повторений с весом 130 при высоте 5 блинов по 20 + 1 подходов по 4 повторений с весом 140 при высоте 5 блинов по 20 + 1 подходов по 3 повторений с весом 140 при высоте 5 блинов по 20 + 1 подходов по 10 повторений с весом 70 при высоте 5 блинов по 20 Другое упражнение №2: Упражнение на икры ; 1 подходов по 15 повторений с весом 30 + 4 подходов по 15 повторений с весом 40 | Комментарий: Ящик мало помог исправить технику, нужны более сильные ноги
Date = 28.09.2018 23:50:02 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 71 	Tonnage = 10120 	Another:                                                                                          Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 10 повторений с весом 60 + 1 подходов по 6 повторений с весом 70 + 15 подходов по 3 повторений с весом 80 + 1 подходов по 15 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 5 подходов по 15 повторений с весом 0 Другое упражнение №3: Упражнение на икры ; 1 подходов по 15 повторений с весом 30 + 1 подходов по 15 повторений с весом 40 + 4 подходов по 15 повторений с весом 45 
Date = 03.10.2018 20:28:55 	Squat = 0 	Press = 0 	Lift = 176 	Weight = 72 	Tonnage = 10180 	Another:                                                                                         Другое упражнение №1: Становая тяга классикой ; 1 подходов по 12 повторений с весом 50 + 1 подходов по 10 повторений с весом 80 + 1 подходов по 8 повторений с весом 100 + 1 подходов по 6 повторений с весом 120 + 1 подходов по 4 повторений с весом 140 + 5 подходов по 3 повторений с весом 160 + 1 подходов по 10 повторений с весом 100 Другое упражнение №2: Упражнение на икры ; 1 подходов по 15 повторений с весом 30 + 1 подходов по 15 повторений с весом 40 + 3 подходов по 15 повторений с весом 50 | Комментарий: Тянуть надо в своём зале
Date = 08.10.2018 20:27:38 	Squat = 0 	Press = 113,305 	Lift = 0 	Weight = 72 	Tonnage = 11715 	Another:                                                                                        Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 11 повторений с весом 70 + 3 подходов по 10 повторений с весом 85 + 1 подходов по 7 повторений с весом 85 + 1 подходов по 9 повторений с весом 80 + 1 подходов по 6 повторений с весом 80 + 1 подходов по 16 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 1 подходов по 10 повторений с весом 0 + 4 подходов по 15 повторений с весом 0 + 1 подходов по 10 повторений с весом 0 Другое упражнение №3: Упражнение на икры ; 1 подходов по 15 повторений с весом 30 + 1 подходов по 15 повторений с весом 40 + 5 подходов по 15 повторений с весом 50 
Date = 12.10.2018 18:50:59 	Squat = 147,972 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 13670 	Another:                                                                                       Другое упражнение №1: Присед на ящик ; 1 подходов по 20 повторений с весом 20 при высоте как всегда + 1 подходов по 15 повторений с весом 50 при высоте как всегда + 1 подходов по 11 повторений с весом 80 при высоте как всегда + 1 подходов по 9 повторений с весом 100 при высоте как всегда + 6 подходов по 7 повторений с весом 120 при высоте как всегда + 1 подходов по 10 повторений с весом 100 при высоте как всегда + 1 подходов по 15 повторений с весом 60 при высоте как всегда Другое упражнение №2: Упражнение на икры ; 1 подходов по 20 повторений с весом 30 + 4 подходов по 20 повторений с весом 40 
